database,dataset_size,indexing,operation,trial_no,execution_time_ms,timestamp
mysql,100000,indexed,update,5,2.3304,2026-05-09T21:05:33
mysql,100000,indexed,update,6,2.2182,2026-05-09T21:05:33
mysql,100000,indexed,update,7,2.2808,2026-05-09T21:05:33
mysql,100000,indexed,update,8,2.3290,2026-05-09T21:05:33
mysql,100000,indexed,update,9,2.3660,2026-05-09T21:05:33
mysql,100000,indexed,update,10,2.5873,2026-05-09T21:05:33
mysql,100000,indexed,delete,1,2.5186,2026-05-09T21:05:33
mysql,100000,indexed,delete,2,2.2782,2026-05-09T21:05:33
mysql,100000,indexed,delete,3,2.4869,2026-05-09T21:05:33
mysql,100000,indexed,delete,4,2.4021,2026-05-09T21:05:33
mysql,100000,indexed,delete,5,2.3355,2026-05-09T21:05:33
mysql,100000,indexed,delete,6,2.2810,2026-05-09T21:05:33
mysql,100000,indexed,delete,7,2.1364,2026-05-09T21:05:33
mysql,100000,indexed,delete,8,2.1285,2026-05-09T21:05:33
mysql,100000,indexed,delete,9,2.2241,2026-05-09T21:05:33
mysql,100000,indexed,delete,10,2.2620,2026-05-09T21:05:33
mysql,100000,no_index,create,1,2.9303,2026-05-09T21:06:19
mysql,100000,no_index,create,2,2.3430,2026-05-09T21:06:19
mysql,100000,no_index,create,3,2.0056,2026-05-09T21:06:19
mysql,100000,no_index,create,4,2.0483,2026-05-09T21:06:19
mysql,100000,no_index,create,5,2.0314,2026-05-09T21:06:19
mysql,100000,no_index,create,6,2.1036,2026-05-09T21:06:19
mysql,100000,no_index,create,7,1.8730,2026-05-09T21:06:19
mysql,100000,no_index,create,8,1.9425,2026-05-09T21:06:19
mysql,100000,no_index,create,9,2.0404,2026-05-09T21:06:19
mysql,100000,no_index,create,10,2.1777,2026-05-09T21:06:19
mysql,100000,no_index,read,1,81.2454,2026-05-09T21:06:19
mysql,100000,no_index,read,2,89.9143,2026-05-09T21:06:20
mysql,100000,no_index,read,3,78.5508,2026-05-09T21:06:20
mysql,100000,no_index,read,4,78.8087,2026-05-09T21:06:20
mysql,100000,no_index,read,5,80.3224,2026-05-09T21:06:20
mysql,100000,no_index,read,6,79.8342,2026-05-09T21:06:20
mysql,100000,no_index,read,7,79.1579,2026-05-09T21:06:20
mysql,100000,no_index,read,8,86.1846,2026-05-09T21:06:20
mysql,100000,no_index,read,9,82.4742,2026-05-09T21:06:20
mysql,100000,no_index,read,10,77.3974,2026-05-09T21:06:20
mysql,100000,no_index,update,1,181.2398,2026-05-09T21:06:21
mysql,100000,no_index,update,2,173.7339,2026-05-09T21:06:21
mysql,100000,no_index,update,3,170.3419,2026-05-09T21:06:21
mysql,100000,no_index,update,4,169.4562,2026-05-09T21:06:21
mysql,100000,no_index,update,5,176.5211,2026-05-09T21:06:21
mysql,100000,no_index,update,6,169.5752,2026-05-09T21:06:21
mysql,100000,no_index,update,7,171.4669,2026-05-09T21:06:22
mysql,100000,no_index,update,8,168.5752,2026-05-09T21:06:22
mysql,100000,no_index,update,9,168.9575,2026-05-09T21:06:22
mysql,100000,no_index,update,10,180.5559,2026-05-09T21:06:22
mysql,100000,no_index,delete,1,169.7705,2026-05-09T21:06:22
mysql,100000,no_index,delete,2,166.6653,2026-05-09T21:06:23
mysql,100000,no_index,delete,3,170.2817,2026-05-09T21:06:23
mysql,100000,no_index,delete,4,167.2574,2026-05-09T21:06:23
mysql,100000,no_index,delete,5,175.2181,2026-05-09T21:06:23
mysql,100000,no_index,delete,6,167.0451,2026-05-09T21:06:23
mysql,100000,no_index,delete,7,165.3358,2026-05-09T21:06:23
mysql,100000,no_index,delete,8,191.6104,2026-05-09T21:06:24
mysql,100000,no_index,delete,9,165.2856,2026-05-09T21:06:24
mysql,100000,no_index,delete,10,165.2067,2026-05-09T21:06:24
mongodb,10000,indexed,create,1,0.6837,2026-05-09T21:06:28
mongodb,10000,indexed,create,2,0.6594,2026-05-09T21:06:28
mongodb,10000,indexed,create,3,0.5778,2026-05-09T21:06:28
mongodb,10000,indexed,create,4,0.5665,2026-05-09T21:06:28
mongodb,10000,indexed,create,5,0.5648,2026-05-09T21:06:28
mongodb,10000,indexed,create,6,0.5625,2026-05-09T21:06:28
mongodb,10000,indexed,create,7,0.5552,2026-05-09T21:06:28
mongodb,10000,indexed,create,8,0.5583,2026-05-09T21:06:28
mongodb,10000,indexed,create,9,0.5650,2026-05-09T21:06:28
mongodb,10000,indexed,create,10,0.5861,2026-05-09T21:06:28
mongodb,10000,indexed,read,1,0.6643,2026-05-09T21:06:28
mongodb,10000,indexed,read,2,0.5883,2026-05-09T21:06:28
mongodb,10000,indexed,read,3,0.7209,2026-05-09T21:06:28
mongodb,10000,indexed,read,4,0.6256,2026-05-09T21:06:28
mongodb,10000,indexed,read,5,0.6711,2026-05-09T21:06:28
mongodb,10000,indexed,read,6,0.5990,2026-05-09T21:06:28
mongodb,10000,indexed,read,7,0.8775,2026-05-09T21:06:28
mongodb,10000,indexed,read,8,0.7415,2026-05-09T21:06:28
mongodb,10000,indexed,read,9,0.6900,2026-05-09T21:06:28
mongodb,10000,indexed,read,10,0.6838,2026-05-09T21:06:28
mongodb,10000,indexed,update,1,0.7004,2026-05-09T21:06:28
mongodb,10000,indexed,update,2,0.6567,2026-05-09T21:06:28
mongodb,10000,indexed,update,3,0.7813,2026-05-09T21:06:28
mongodb,10000,indexed,update,4,0.6406,2026-05-09T21:06:28
mongodb,10000,indexed,update,5,0.6123,2026-05-09T21:06:28
mongodb,10000,indexed,update,6,0.6842,2026-05-09T21:06:28
mongodb,10000,indexed,update,7,0.7241,2026-05-09T21:06:28
mongodb,10000,indexed,update,8,0.9320,2026-05-09T21:06:28
mongodb,10000,indexed,update,9,0.8473,2026-05-09T21:06:28
mongodb,10000,indexed,update,10,0.6966,2026-05-09T21:06:28
mongodb,10000,indexed,delete,1,0.6714,2026-05-09T21:06:28
mongodb,10000,indexed,delete,2,0.6942,2026-05-09T21:06:28
mongodb,10000,indexed,delete,3,0.7059,2026-05-09T21:06:28
mongodb,10000,indexed,delete,4,0.6875,2026-05-09T21:06:28
mongodb,10000,indexed,delete,5,0.6975,2026-05-09T21:06:28
mongodb,10000,indexed,delete,6,0.6477,2026-05-09T21:06:28
mongodb,10000,indexed,delete,7,0.6655,2026-05-09T21:06:28
mongodb,10000,indexed,delete,8,0.8032,2026-05-09T21:06:28
mongodb,10000,indexed,delete,9,0.7687,2026-05-09T21:06:28
mongodb,10000,indexed,delete,10,0.7430,2026-05-09T21:06:28
mongodb,10000,no_index,create,1,0.6628,2026-05-09T21:06:32
mongodb,10000,no_index,create,2,0.6336,2026-05-09T21:06:32
mongodb,10000,no_index,create,3,0.4925,2026-05-09T21:06:32
mongodb,10000,no_index,create,4,0.4656,2026-05-09T21:06:32
mongodb,10000,no_index,create,5,0.4475,2026-05-09T21:06:32
mongodb,10000,no_index,create,6,0.4751,2026-05-09T21:06:32
mongodb,10000,no_index,create,7,0.4436,2026-05-09T21:06:32
mongodb,10000,no_index,create,8,0.4420,2026-05-09T21:06:32
mongodb,10000,no_index,create,9,0.5316,2026-05-09T21:06:32
mongodb,10000,no_index,create,10,0.5608,2026-05-09T21:06:32
mongodb,10000,no_index,read,1,1.1691,2026-05-09T21:06:32
mongodb,10000,no_index,read,2,2.0479,2026-05-09T21:06:32
mongodb,10000,no_index,read,3,2.7242,2026-05-09T21:06:32
mongodb,10000,no_index,read,4,5.4591,2026-05-09T21:06:32
mongodb,10000,no_index,read,5,7.5924,2026-05-09T21:06:32
mongodb,10000,no_index,read,6,8.0135,2026-05-09T21:06:32
mongodb,10000,no_index,read,7,8.0036,2026-05-09T21:06:32
mongodb,10000,no_index,read,8,8.5308,2026-05-09T21:06:32
mongodb,10000,no_index,read,9,9.5493,2026-05-09T21:06:32
mongodb,10000,no_index,read,10,10.4562,2026-05-09T21:06:32
mongodb,10000,no_index,update,1,1.3457,2026-05-09T21:06:32
mongodb,10000,no_index,update,2,2.4056,2026-05-09T21:06:32
mongodb,10000,no_index,update,3,3.0660,2026-05-09T21:06:32
mongodb,10000,no_index,update,4,5.4710,2026-05-09T21:06:32
mongodb,10000,no_index,update,5,8.2086,2026-05-09T21:06:32
mongodb,10000,no_index,update,6,8.1692,2026-05-09T21:06:32
mongodb,10000,no_index,update,7,9.4854,2026-05-09T21:06:32
mongodb,10000,no_index,update,8,9.5259,2026-05-09T21:06:32
mongodb,10000,no_index,update,9,10.9354,2026-05-09T21:06:32
mongodb,10000,no_index,update,10,11.3749,2026-05-09T21:06:32
mongodb,10000,no_index,delete,1,1.3504,2026-05-09T21:06:32
mongodb,10000,no_index,delete,2,2.2557,2026-05-09T21:06:32
mongodb,10000,no_index,delete,3,3.0973,2026-05-09T21:06:32
mongodb,10000,no_index,delete,4,6.2479,2026-05-09T21:06:32
mongodb,10000,no_index,delete,5,7.3165,2026-05-09T21:06:32
mongodb,10000,no_index,delete,6,8.6523,2026-05-09T21:06:32
mongodb,10000,no_index,delete,7,8.7680,2026-05-09T21:06:32
mongodb,10000,no_index,delete,8,8.8917,2026-05-09T21:06:32
mongodb,10000,no_index,delete,9,10.4894,2026-05-09T21:06:32
mongodb,10000,no_index,delete,10,11.0324,2026-05-09T21:06:32
mongodb,50000,indexed,create,1,0.5847,2026-05-09T21:06:53
mongodb,50000,indexed,create,2,0.6392,2026-05-09T21:06:53
mongodb,50000,indexed,create,3,0.6089,2026-05-09T21:06:53
mongodb,50000,indexed,create,4,0.6682,2026-05-09T21:06:53
mongodb,50000,indexed,create,5,0.6162,2026-05-09T21:06:53
mongodb,50000,indexed,create,6,0.5989,2026-05-09T21:06:53
mongodb,50000,indexed,create,7,0.6032,2026-05-09T21:06:53
mongodb,50000,indexed,create,8,0.6090,2026-05-09T21:06:53
mongodb,50000,indexed,create,9,0.5843,2026-05-09T21:06:53
mongodb,50000,indexed,create,10,0.5251,2026-05-09T21:06:53
mongodb,50000,indexed,read,1,0.7637,2026-05-09T21:06:53
mongodb,50000,indexed,read,2,0.7389,2026-05-09T21:06:53
mongodb,50000,indexed,read,3,0.6993,2026-05-09T21:06:53
mongodb,50000,indexed,read,4,0.6901,2026-05-09T21:06:53
mongodb,50000,indexed,read,5,0.9151,2026-05-09T21:06:53
mongodb,50000,indexed,read,6,0.6782,2026-05-09T21:06:53
mongodb,50000,indexed,read,7,0.5942,2026-05-09T21:06:53
mongodb,50000,indexed,read,8,0.6535,2026-05-09T21:06:53
mongodb,50000,indexed,read,9,0.7084,2026-05-09T21:06:53
mongodb,50000,indexed,read,10,0.7073,2026-05-09T21:06:53
mongodb,50000,indexed,update,1,0.7350,2026-05-09T21:06:53
mongodb,50000,indexed,update,2,0.7359,2026-05-09T21:06:53
mongodb,50000,indexed,update,3,0.8319,2026-05-09T21:06:53
mongodb,50000,indexed,update,4,0.7320,2026-05-09T21:06:53
mongodb,50000,indexed,update,5,0.7271,2026-05-09T21:06:53
mongodb,50000,indexed,update,6,0.7218,2026-05-09T21:06:53
mongodb,50000,indexed,update,7,0.7476,2026-05-09T21:06:53
mongodb,50000,indexed,update,8,0.7378,2026-05-09T21:06:53
mongodb,50000,indexed,update,9,0.7609,2026-05-09T21:06:53
mongodb,50000,indexed,update,10,0.7381,2026-05-09T21:06:53
mongodb,50000,indexed,delete,1,0.8097,2026-05-09T21:06:53
mongodb,50000,indexed,delete,2,0.8392,2026-05-09T21:06:53
mongodb,50000,indexed,delete,3,0.8257,2026-05-09T21:06:53
mongodb,50000,indexed,delete,4,0.6641,2026-05-09T21:06:53
mongodb,50000,indexed,delete,5,0.7272,2026-05-09T21:06:53
mongodb,50000,indexed,delete,6,0.7230,2026-05-09T21:06:53
mongodb,50000,indexed,delete,7,0.8378,2026-05-09T21:06:53
mongodb,50000,indexed,delete,8,0.7112,2026-05-09T21:06:53
mongodb,50000,indexed,delete,9,0.6911,2026-05-09T21:06:53
mongodb,50000,indexed,delete,10,0.6818,2026-05-09T21:06:53
mongodb,50000,no_index,create,1,1.0126,2026-05-09T21:07:14
mongodb,50000,no_index,create,2,0.6847,2026-05-09T21:07:14
mongodb,50000,no_index,create,3,0.5335,2026-05-09T21:07:14
mongodb,50000,no_index,create,4,0.5502,2026-05-09T21:07:14
mongodb,50000,no_index,create,5,0.4711,2026-05-09T21:07:14
mongodb,50000,no_index,create,6,0.4668,2026-05-09T21:07:14
mongodb,50000,no_index,create,7,0.4764,2026-05-09T21:07:14
mongodb,50000,no_index,create,8,0.5646,2026-05-09T21:07:14
mongodb,50000,no_index,create,9,0.6763,2026-05-09T21:07:14
mongodb,50000,no_index,create,10,0.5013,2026-05-09T21:07:14
mongodb,50000,no_index,read,1,3.0365,2026-05-09T21:07:14
mongodb,50000,no_index,read,2,7.2340,2026-05-09T21:07:14
mongodb,50000,no_index,read,3,10.3788,2026-05-09T21:07:14
mongodb,50000,no_index,read,4,19.1611,2026-05-09T21:07:14
mongodb,50000,no_index,read,5,24.1902,2026-05-09T21:07:14
mongodb,50000,no_index,read,6,31.1124,2026-05-09T21:07:14
mongodb,50000,no_index,read,7,43.1667,2026-05-09T21:07:14
mongodb,50000,no_index,read,8,45.8936,2026-05-09T21:07:14
mongodb,50000,no_index,read,9,45.6344,2026-05-09T21:07:14
